subject,group,version,recall_description,event,recall_order,event_num,scene,scene_location,theme,event_description,word_count
101,older,exp2,and then I forgot the name of the movie. and anyway after the Friendly's Larry tell Cheryl that she doesn't want her give that movie to any of your friends anymore cuz he doesn't want them I guess he doesn't want to hear their opinions about it. ,other,11,,B,The David's Back Patio,Other,Larry tells Cheryl not to loan the movie out.,48
101,older,exp2,"Anyway, it seemed kind of ends maybe at some point they're talking about the dinner party they're going to have on Friday night. oh yeah well the friend is still there ",B2,12,5.0,B,The David's Back Patio,Dinner_Party,Julie gets up to leave and mentions the dinner party on Friday night,32
101,older,exp2,Cheryl says that the caterer backed out of the dinner party because personal reasons. and Larry's like well people don't know when people. his personal reasons they don’t you to ask about why they don't want to do whatever they said they're not going to do. and so Leary offers that his friend Jeff's neighbor is a caterer. and Jeff is always saying I know she's good caterer so Larry tell Cheryl that he can call or she can call Jeff and get the name of the caterer. and that would solve their problem for the Friday night dinner party.,B3,13,6.0,B,The David's Back Patio,Caterer,Cheryl mentions that their caterer cancelled Larry asks why the caterer cancelled and Cheryl says it is due to personal reasons Larry suggests that Cheryl calls's Jeff's neighbor to cater the dinner,100
101,older,exp2,"then I guess it's some point maybe in the next thing is they’re at the dinner party. and this is at Larry and Cheryl's house. and Larry is making small talk with some man and his wife about evidently this guy move in this office from Downey to Covina. and you can tell Larry he's just kind of bored by it but trying to be polite I guess by listening. and um, then they move on and kind of over over shoulder Larry sees this guy who ends up being Mike Duffy. And mike thanks him for having a dinner party, inviting him over. He said you got great artwork. Larry says, yeah thanks. ",E1,14,,E,Dinner Party,Dinner_Party,"At the dinner party, Larry talks to a couple who are moving from Covina to Downy. Larry tells his wife. Larry then starts talking to a couple who recently went on a cruise. At the cruise, they saw a show about Annie. Larry sees a man named Mike looking at him. They begin talking about Seinfield and Mike asks Larry if Larry gets paid for the re-runs that is still aired. ",115
101,older,exp2,and the guy somehow mentions that he's an Aamco dealer or owner of an Aamco store. and Larry thinks he's kind of making a joke about Larry's run-in with the guy at the stop sign and the Aamco radio cuz I guess he had told Cheryl and Larry thinks assumes the guys kind of give him a hard time or making a joke making fun of it. but he really isn't. and anyway they get talking about Larry's incident with the car and the guy offers that he can fix the car. He’s kind of a specialty in that area and something they get off to a good relationship there. Larry’s really appreciative. the guy Mike Duffy gives him his business card and tells me to call him and set up something to fix the car. ,E2,15,,E,Dinner Party,Chevy,Mike makes a comment about how it will be good if he got paid for all the AAMCO transmissions and Larry thinks Cheryl told Mike about the incident. Mike says he owns 3 AAMCO stations. Larry tells Mike that Jeff got a 57 Chevy and then talks about the car accident he got into with Jeff earlier.  Mike tells Larry that he can take a look at the damaged car.,137
101,older,exp2,anyway then Cheryl says it's dinner time ,E3,16,,E,Dinner Party,Dinner_Party,The caterer comes in and tells Cheryl that dinner is ready and Cheryl announces to everyone that it is dinner time. ,8
101,older,exp2,"and everyone walks to the dinner/dining room. and they're all like all this is so nice it looks very nicely set table and very professional. and Cheryl says wait a minute, everybody just sit wherever you like. and so is her about to sit down the Mike, Aamco guy, Mike Duffy takes head of the table which is Larry’s seat, clearly. And Cheryl sits at the other end of the table which they would do as a couple, you know opposite ends. and Larry ends up having to sit next to Mike. 
Mike is kind of taking charge like he's giving the party at that point, telling everybody is great for them to be there. and then they'll dig in but before that Larry's er, Mike's as always I feel more other tradition and he says grace before dinner. And he’s clearly is Catholic and makes a sign of cross. and Larry sitting next to on the Larry's definitely Jewish and doesn't participate but doesn't really make any big face or anybody could tell Larry's kind of peeved. And so then after the grace is finished after you know the grace has [been] said Larry says is it okay to, sarcastic says, is it okay to start the salad. And mike says yeah yeah yeah everybody and so hilariously [Larry is] like is it okay really is it okay. so he's being sarcastic about starting the dinner salad. and they finish and that’s kind of the end of the scene there. and then after the dinner-party Larry is.",E6,17,,E,Dinner Party,Dinner_Party,The guests enter the dining room and Cheryl directs them to take a seat anywhere they would like. ,258
101,older,exp2,"Oh, previously, the joke between Larry and Cheryl is that Cherly had said that Larry. she asked him to have a good time at the party and Larry's like you know I'm not really up for that. she snice I know I'm not going to have a good time and she says well you’ve already decided that you’re not going to have a good time. So then Larry says no I will try I'll try to have a good time. and Cheryl says alright I want you to have a good time. and Larry says well let's make a bet that if I have a good time and Larry says if I win the bet you have to give me a b****** in the car and Cheryl agrees.  ",B7,18,,B,The David's Back Patio,Dinner_Party,Larry makes a bet with Cheryl saying that he will not like the dinner party. The bet is a blowjob in the car. ,128
101,older,exp2,"so then later after the dinner party, they’re in the bedroom. and Larry I guess you're talking about having a good time. Larry said he had a good time told Cheryl he had a good time. and I guess you believed him. and he said well somebody lost the bet so he's going to hold that overhead. And then I guess that's kind of the end of the bedroom scene.  ",F3,19,,F,The Davids' Bedroom,Dinner_Party,Larry talks more about the dinner party and mentions that they said grace. Cheryl asks Larry if he had a good time at the dinner party. Larry says no and reminds Cheryl that she lost a bet.,70
101,older,exp2,"Then the next morning they're in the kitchen Cheryl's in there already reading the paper. Larry comes in a cup of coffee. and I guess they kind of commiserate it that they had a good party. and Larry says I’m going to get one of those apple turnovers. and goes the refrigerator. He is looking and he doesn't see one. he asked her where the turnover. she says they're in the refrigerator. he's looking looking. he doesn't see them. she says yeah I know how you look so she comes over and looks and she looks in the refrigerator. and they can't find any food, they don't see any food leftovers. and Larry's like well what happened to the food. did they who took the food. and goes the refrigerator. He is looking and he doesn't see one. he asked her where the turnover. she says they're in the refrigerator. he's looking looking. he doesn't see them. she says yeah I know how you look so she comes over and looks and she looks in the refrigerator. and they can't find any food, they don't see any food leftovers. and Larry's like well what happened to the food. did they who took the food.  and then they kind of assumed that it was the caterer that just took the food. and I think it's some point Cheryl might remember that she did see the caterer walking out the door with the tray or one of those too. but they didn't really make a big deal about it. and then so they both come to the conclusion that the caterer just left with the leftovers. And they’re upset because well he pay for the food and it's their food. they didn't tell the caterer she could have leftovers.  so then Cheryl calls up the caterer and tells her that they want the food back  and if they don't get the food back they're going to cancel the check for the catering service. and then evidently the caterer says okay fine you can have the food. and Cheryl says well I’m going to Larry over in a little while to get the food.  ",G3,20,,G,The Davids' Kitchen,Caterer,Larry wants an apple turnover and walks over to the refrigerator but can't find it. ,364
101,older,exp2,"Larry goes over there later evidently. and has kind of confrontation with the caterer who told you you can take the food. She doesn't really answer he says where's the chicken. she says well there really wasn't any chicken left so to speak. and he's kind of pushing her about that. So then she goes in the refrigerator pulls out of a tray which evidently has fair amount of chicken in it. and put them on top of the other tray that she'd pulled out. so now Larry's got the food he brings it home, leaves evidently.  ",H1,21,,H,Caterer's House,Caterer,Larry is at the caterer's house and asks for the food. The caterer tells him that she gave the food to the homeless shelter. Another woman comes by and tells the caterer that she dropped the food off to Jeff's. Larry and the caterer continue to argue and the caterer is in denial.,97
101,older,exp2,and then the next scene you see him walking down the street with double trays in his hands with the food. ,K1,22,,K,Walking on the Street,Caterer,Larry is walking down the street with platters of food and a homeless man asks if he has any spare change. Larry asks the homeless man if he goes to the shelter and what food they serve there. The homeless man tells Larry that they usually serve soup and peanut butter. Larry asks if the homeless man wants the food and the homeless man takes it.,22
101,older,exp2,"and then earlier while they were in the kitchen Larry and Cheryl. Uh, Larry checks the phone messages and there's a voicemail from Mike Duffy the Ammco Guy saying something important he wants to talk to Larry about, he'll be in the office at 12:30. Um, give him a call.  ",G1,23,,G,The Davids' Kitchen,Dinner_Party,Larry enters the kitchen and notices that there is a message on the answering machine. The message is from Mike and tells Larry that he feels weird about something from the dinner party. ,50
101,older,exp2,and so I guess then I'm jumping up scene or two up. Jeff and Larry with the Ammco dealer the car shop on the rack. And Mike Duffy's looking at the car comes over and tells him that he's got good news and bad news. the bad news is there's damage but the good news is that he's kind of an expert in this field and transmission for these type older cars and they they can fix it. and so then they have a little back-and-forth that Mike says a you pay for the parts and I'll give you the labor. Larrys like no let me pay for the labor. so I guess somehow they come to some agreement.,J1,24,,J,AAMCO Station,Chevy,Larry and Jeff are at the AAMCO station. Mike tells them that there is an issue with the transmission and that he can fix it. ,119
101,older,exp2,and Mike says he needs to talk to Larry in his office. So they go to Mike's office. and Mike says something he's got something important to tell Larry. ,J2,25,,J,AAMCO Station,Dinner_Party,Mike asks Larry if he can speak to him in private.,30
101,older,exp2,"and Larry jumps in and says you know you know somehow you got word that I’m not real comfortable people saying her guest house at Martha's Vineyard. and [Mike says] no no I go to Martha's Vineyard all the time we're not going to impose upon you to stay in your guest house. And Larry says, “no, you can probably do that.” and the guy is kind of offended cuz he thinks that Larry doesn't want him to stay there. but now he's kind of weaseling out of it. anyway the guy ends up getting offended and says what I really would call you in here for was I do apologize I apologize for sitting in your seat at the dinner table.  Which Larry jump to conclusions before the guy even had chance to say what he was calling him in there for.  anyway the guy gets kind of huffy and kicks Larry out of the office says he's got take a phone call. So Larry leaves.  ",J4,26,,J,AAMCO Station,Dinner_Party,"Mike tells Larry to take a seat in his office and thanks him about the dinner party. Mike begins to apologize to Larry but Larry cuts him off and tells him that Cheryl should have not said anything about the vineyard. Mike was apologizing for taking the head of the table. Larry and Mike argue, talking past each other. Mike ends the conversation.",169
101,older,exp2,"and then this is probably towards the end, yeah I guess maybe the next scene or the final scene is Larry and Cheryl in a car it's dark. and evidentially they just going out to eat. and they said they both had a great dinner. and Larry's stops and looks at Cheryl and says I guess somebody owes me somebody lost the bet. and he's reminding her of the earlier bet about whether or not he would have good time at the dinner party. and then that's the end of the show. ",other,27,,L,The Davids' Car,Dinner_Party,Cheryl and Larry are driving from dinner and Larry reminds Cheryl about the bet.,92
102,older,exp2,"okay okay the episode that I just watched was a show of Curb Your Enthusiasm with Larry Davis. It is actually the first time I've seen the program. I've never watched it before. it was kind of a it was comedy. Starts off with I’m not quite sure I understand the whole program, if I haven’t seen the program before it would help understand the background of the show a little bit. it's kind of a dry black comedy I would describe.  it's about him and his wife. he’s obviously moved from the east coast to California and new surroundings. and it's fairly funny as far as the dry comedy. I enjoy the type of Comedy. It’s him and his wife ",,1,,other,,,nan,123
102,older,exp2,he's got a friend who I think was a maybe an agent who who have purchased a a 1957 Chevrolet convertible.,A2,2,2.0,A,Walking on the Street,Chevy,Jeff tells Larry that he is getting a 57 Chevy convertible from a neighbor. ,21
102,older,exp2,Larry and his wife are hosting a dinner party with some local characters one being an AAMCO Transmission owner.,E1,3,16.0,E,Dinner Party,Dinner_Party,Larry sees a man named Mike looking at him. They begin talking about Seinfield and Mike asks Larry if Larry gets paid for the re-runs that is still aired. ,19
102,older,exp2,he owned 3 AMMCO stores.,E2,4,17.0,E,Dinner Party,Chevy,Mike says he owns 3 AAMCO stations.,5
102,older,exp2,"Um, during the program, there were a lot of bantering going on between Larry and his wife, as with most couples;",,5,,other,,,nan,21
102,older,exp2,"between Larry and his manager who I believe was his manager. his manager was upset that he, Larry, did not congratulate him on his car purchase and insisted that they go for a drive together.",C2,6,12.0,C,Jeff's Office,Chevy,Jeff moves to the couch and tells Larry that he is disappointed that Larry did not congratulate him on his new car. Larry apologizes for not congratulating Jeff about the new car. Jeff suggests that they take the car for a drive and that Larry drives.,35
102,older,exp2,"While they were driving, Larry was driving there was a stop sign there was a Aamco commercial come on the radio. The horn is honking while was at the stop sign. The commercial at the horn honking and Larry thought it was a individual behind him and he started giving him a rough time and the car behind him rammed into the back of the car, causing damage to the car and the transmission of the car.",D3,7,15.0,D,Driving Chevy on the Street,Chevy,An AAMCO commercial comes on the radio with two beeps.,77
102,older,exp2,"The um, a lot of the um the segment was had to do with the party going on at their house. the bantering going on between the participants, the AAMCO Transmission guy sitting at the table, the dining table, at the head seat was a funny scene part of it.",E6,8,21.0,E,Dinner Party,Dinner_Party,Mike takes the head of the table and Larry is surprised.,50
102,older,exp2,"And um, you know, throughout the the whole segment the it was just kind of a comical scene.",,9,,other,,,nan,18
102,older,exp2,Back-and-forth it did have in the very beginning of the segment there was a homeless guy that was begging in the beginning of scene,A3,10,3.0,A,Walking on the Street,Caterer,A homeless man holding a cup interrupts Larry and David and asks for spare change.,24
102,older,exp2,and he was also the last scene of the show.  ,K1,11,36.0,K,Walking on the Street,Caterer,Larry is walking down the street with platters of food and a homeless man asks if he has any spare change. ,12
102,older,exp2,And there was also a caterer scene involving the caterer who it stole some of the food from the party. Larry was sent to retrieve part of the food that the caterer stole.,G3,12,27.0,G,The Davids' Kitchen,Caterer,The leftovers seem to be missing.,33
102,older,exp2,I guess that's so kind of the Crux of the of the party. okay,,13,,other,,,nan,14
107,older,exp2,Okay okay thus was an episode where Larry and his friend Jeffrey walking down the street. and they're coming from a restaurant. and Larry has some leftovers,A1,1,1.0,A,Walking on the Street,Caterer,Larry and Jeff are walking down the street. Larry is holding a paper bag.,27
107,older,exp2,and the homeless guy asks him for some money. Is it not working? This guy asks him for some money|and he says I don't got any money but do you want some do you want this. and the guy says what is it says it's tuna.|And they guy says I don’t like tuna. And Larry kind of rolls his eyes.,A3,2,3.0,A,Walking on the Street,Caterer,A homeless man holding a cup interrupts Larry and David and asks for spare change.|Larry and Jeff responds by saying they do not have spare change and offers a tuna sandwich instead. |The homeless man refuses the tuna sandwich and says he does not like tuna,60
107,older,exp2,and either right before or right after that I think right before that Jeff told Larry that he was buying a 57 Chevy from his neighbor. and that he was very excited about it.  ,A2,3,2.0,A,Walking on the Street,Chevy,Jeff tells Larry that he is getting a 57 Chevy convertible from a neighbor. ,34
107,older,exp2,So then Larry is he goes home. and his wife has I suppose a neighbor there|who the wife has given a copy of Larry's most recent movie or something too.|and she's walking kind of vaguely nicely about it because obviously she didn't really care for it. but she doesn't want to say anything rude. so she's things about it being interesting etcetera etcetera.,B1,4,4.0,B,The David's Back Patio,Other,Larry walks through his kitchen and into the patio area and sees his wife Cheryl with her friend Julie|Larry said hi to Julie and Cheryl tells him that she is returning a movie called Sour Grapes|Julie responds by saying that she enjoyed it,63
107,older,exp2,and then they're having talking about a dinner party on Friday.,B2,5,5.0,B,The David's Back Patio,Dinner_Party,Julie gets up to leave and mentions the dinner party on Friday night,11
107,older,exp2,and that they're the wife says that the caterer has canceled.,B3,6,6.0,B,The David's Back Patio,Caterer,Cheryl mentions that their caterer cancelled,11
107,older,exp2,and Larry's kind of relieved because he doesn't really want to go to the party.,B7,7,10.0,B,The David's Back Patio,Dinner_Party,Larry questions why she wants to have a dinner party.,15
107,older,exp2,"but then he says oh Jeff has a neighbor, we could call her. but I don't know why he said that because he didn't really want to go to this party anyway. but anyway leaves a message for Jeff to get the name of the caterer. and they call the caterer",B3,8,6.0,B,The David's Back Patio,Caterer,Larry suggests that Cheryl calls's Jeff's neighbor to cater the dinner,51
107,older,exp2,"and then conversation, he and his wife, about what a bad time he's going to have at this party. and she says well you could have a good time if you wanted to. and he says no there's no possible way I'll have a good time.|and she says well I'll bet you you'll have a good time. and he says no. and anyway he bets her b****** that she will he will have a bad time. and so and they said a b****** on the way home ",B7,9,10.0,B,The David's Back Patio,Dinner_Party,Cheryl says parties are fun.|Larry makes a bet with Cheryl saying that he will not like the dinner party. The bet is a blowjob in the car. ,87
107,older,exp2,which I wasn't sure what they were going to be on the way home from because it was at their house. but anyway at the end you see that if they were home on the way home from a restaurant the next night or something.,L1,10,37.0,L,The Davids' Car,Dinner_Party,Cheryl and Larry are driving from dinner and Larry reminds Cheryl about the bet.,45
107,older,exp2,so anyway Larry and Jeff new car. it's a 57 Chevy convertible tropical turquoise a very beautiful car out for a drive. and they stopped at a stop sign,D1,11,13.0,D,Driving Chevy on the Street,Chevy,Jeff and Larry take the car for a drive and Jeff is impressed with the car and understands why Jeff was upset.,29
107,older,exp2,"and they turn the radio|and it's a commercial AAMCO commercial double-A beep beep MCO.|And Larry thinks that the guy behind them has beeped at them at the stop sign. and he turned around starts hollering at him. and it wasn't the guy beeping|but the guy gets mad so then he smashes into the back of Jesse's new car and messes it up.|So Jeff’s mad and Larry is mad, everybody is mad.",D3,12,15.0,D,Driving Chevy on the Street,Chevy,Larry tells Jeff to turn the radio on.|An AAMCO commercial comes on the radio with two beeps.|Larry thinks the car behind him is honking at them and yells at them saying that there is a stop sign.|Jeff says that it is the radio and the car hits their car. |Larry keeps yelling at the car and the car drives away.,71
107,older,exp2,"so then they have the dinner party  and let’s see, is there anything else in there. Uh, I don’t think so. So there’s a dinner party at their house. and it's probably for couples.  ",E1,13,16.0,E,Dinner Party,Dinner_Party,"At the dinner party, Larry talks to a couple who are moving from Covina to Downy. Larry tells his wife.",35
107,older,exp2,and a guy comes in and starts talkin about Aamco. and Larry thinks the wife is set him up to talk about Aamco.|but actually the guy actually owns 3 AMMCO repair shops.|and he says he could look at Jeff's car and see if he can fix it cuz it's the transmission might be messed up especially if it was in drive when it got hit.,E2,14,17.0,E,Dinner Party,Chevy,Mike makes a comment about how it will be good if he got paid for all the AAMCO transmissions and Larry thinks Cheryl told Mike about the incident. |Mike says he owns 3 AAMCO stations.|Mike tells Larry that he can take a look at the damaged car.,65
107,older,exp2,but so anyway is talking to this guy and making nice with him.,E4,15,19.0,E,Dinner Party,Chevy,Mike reassures Larry that he will fix the car.,13
107,older,exp2,and then they going to dinner and the wife says everyone sit wherever you want.|and this AAMCO guy sits in Larry's chair right away cuz he says he likes a little more support from an armchair. and Larry's a little miffed that he's didn't get his chair but he's you know he's okay.|so then the guy wants to pray he wants to give a toast. and Larry is Jewish so the praying was a little weird. but the dinner okay.  ,E6,16,21.0,E,Dinner Party,Dinner_Party,"The guests enter the dining room and Cheryl directs them to take a seat anywhere they would like. |Mike takes the head of the table and Larry is surprised.|Mike asks like he is the host with a prayer, speech, and cheers.",80
107,older,exp2,but then the next morning they wake up,G1,17,25.0,G,The Davids' Kitchen,Other,Larry enters the kitchen and Cheryl is at the table.,8
107,older,exp2,and there's a message on the machine from the AAMCO guy says he wants to talk to him at 12:30 please call him. and Larry's all worried about what this is about.,G2,18,26.0,G,The Davids' Kitchen,Dinner_Party,Larry notices that there is a message on the answering machine. The message is from Mike and tells Larry that he feels weird about something from the dinner party. ,32
107,older,exp2,so he decides to have an apple turnover to take his mind off of it. and they open the refrigerator. First Larry goes to the refrigerator and says there's no food here in.|Then his wife says you don't know how to look for food. and she goes and sure enough there is no food.|so they call the caterer and yes the caterer took all the food without permission.|so the wife says that Larry will be over her house to pick it up.,G3,19,27.0,G,The Davids' Kitchen,Caterer,Larry wants an apple turnover and walks over to the refrigerator but can't find it. |Cheryl looks for the leftovers after.|Cheryl calls the caterer and the caterer admits that she took the leftovers home. |Cheryl tells her that Larry will pick up the leftovers.,82
107,older,exp2,and he goes over there and she's really kind of miffed about. And she says there isn't wasn't hardly any food left. |And then she says that she gave it to a homeless shelter on something and something.|and then her assistant comes in and says I dropped off the food with Jeff next door.,H1,20,28.0,H,Caterer's House,Caterer,Larry is at the caterer's house and asks for the food. |The caterer tells him that she gave the food to the homeless shelter.| Another woman comes by and tells the caterer that she dropped the food off to Jeff's.,54
107,older,exp2,"And then Larry goes next door to Jeff's house and there's some of his food there. so he took some of the food from the Caterers house that was left and then went over to Larry's, er to Jeff’s. and there's Jeff eating an apple turnover. |so he sits down and needs an apple turnover and then he takes all this leftovers.",I1,21,29.0,I,Jeff's Kitchen,Caterer,Jeff is eating the leftover chicken when Larry visits. |Larry sits down and eats the apple turnovers. ,62
107,older,exp2,"and then he and Jeff go to the Aamco place and the guy looks, the aamco guy, looks at the car. and he says he can fix it and first he says he'll pay for everything.",J1,22,31.0,J,AAMCO Station,Chevy,Larry and Jeff are at the AAMCO station. Mike tells them that there is an issue with the transmission and that he can fix it. ,36
107,older,exp2,And then the guy says Larry can I talk to you in my office? and so they go to the office,J2,23,32.0,J,AAMCO Station,Dinner_Party,Mike asks Larry if he can speak to him in private.,21
107,older,exp2,and Larry thinks the guys upset because he heard his wife talking about them not liking people to stay at their guest house in Martha's Vineyard.|And this guy and is wife is going to Martha's Vineyard.|But then it turned out the guy was actually feeling bad about having sat in Larry's chair at the party. but then the guy does get miffed about Larry not wanting people to come to his house in Martha's Vineyard.|So they kind of leave in a very uncomfortable situation but there are driving the car so that seems good.,J4,24,34.0,J,AAMCO Station,Dinner_Party,"Mike begins to apologize to Larry but Larry cuts him off and tells him that Cheryl should have not said anything about the vineyard. |Mike was apologizing for taking the head of the table. |Larry and Mike argue, talking past each other. |Mike ends the conversation.",94
107,older,exp2,And then Larry is walking down the street down the street. Oh I don’t know he’s either got he's got like three stacks of food there and the same homeless guys there.|and he has the homeless guy do you like this kind of food. And the guy says sure.|And he asked him do you ever get this kind of food over at the at the mission homeless shelter.|And he says no we just get soup and sometimes peanut butter. So larry give the guy all this nice food.,K1,25,36.0,K,Walking on the Street,Caterer,Larry is walking down the street with platters of food and a homeless man asks if he has any spare change. | Larry asks if the homeless man wants the food and the homeless man takes it.|Larry asks the homeless man if he goes to the shelter and what food they serve there. |The homeless man tells Larry that they usually serve soup and peanut butter.,88
107,older,exp2,"and either right before or right after that to end the show, Larry and his wife are driving home from a nice seafood restaurant that had good fish. and he says you still owe me something or some such. and she looks around and unbuckle your seat belt and that's probably it.",L1,26,37.0,L,The Davids' Car,Dinner_Party,Cheryl and Larry are driving from dinner and Larry reminds Cheryl about the bet.,52
108,older,exp2,1A We started off with Larry and his friend Jeff talking walking down the street. And,A1,1,1.0,A,Walking on the Street,Caterer,Larry and Jeff are walking down the street. Larry is holding a paper bag.,16
108,older,exp2,2A Jeff tells Larry that he bought his neighbor's car which was a 57 Chevrolet convertible because he wanted one.,A2,2,2.0,A,Walking on the Street,Chevy,Jeff tells Larry that he is getting a 57 Chevy convertible from a neighbor. ,20
108,older,exp2,3A they passed by a homeless guy who was trying to get some spare change|4A and of course Jeff says he didn't have any and Larry offered in the sandwich. the man asked him what kind it was me told them it was tuna and|5A he said he didn't like tuna.|6A So they went into the building. ,A3,3,3.0,A,Walking on the Street,Caterer,A homeless man holding a cup interrupts Larry and David and asks for spare change.|Larry and Jeff responds by saying they do not have spare change and offers a tuna sandwich instead. |The homeless man refuses the tuna sandwich and says he does not like tuna|Larry and Jeff are surprised that he refused and walks in a building.,57
108,older,exp2,23C I am assuming that’s Jeff’s office.,C1,4,11.0,C,Jeff's Office,Caterer,Jeff and Larry are in Jeff's office and Jeff tells Larry that the caterer is great.,7
108,older,exp2,During part of this Jeff takes Larry out and has him drive the 57 Chevy. they're going down the street.,D1,5,13.0,D,Driving Chevy on the Street,Chevy,Jeff and Larry take the car for a drive and Jeff is impressed with the car and understands why Jeff was upset.,20
108,older,exp2,there is the radio playing|and they have an Aamco commercial which starts double a m has two honks|C o Larry thought that the man behind him was honking at him. yelled something non complimentary. the guy also responded non complimentary got an attitude|and ended up ramming the back of the 57 Chevy causing damage.,D3,6,15.0,D,Driving Chevy on the Street,Chevy,Larry tells Jeff to turn the radio on.|An AAMCO commercial comes on the radio with two beeps.|Larry thinks the car behind him is honking at them and yells at them saying that there is a stop sign.|Jeff says that it is the radio and the car hits their car. ,54
108,older,exp2,which turned out to be transmission damage to the vehicle.,J1,7,31.0,J,AAMCO Station,Chevy,Larry and Jeff are at the AAMCO station. Mike tells them that there is an issue with the transmission and that he can fix it. ,10
