event,event_num,scene,scene_location,theme,event_description
F1,22,F,The Davids' Bedroom,Dinner_Party,Larry and Cheryl is in the bedroom talking about the dinner party. Larry mentions that Mike took the head of table.
F2,23,F,The Davids' Bedroom,Caterer,Larry tells Cheryl that Mike is going to fix Jeff's car.
F3,24,F,The Davids' Bedroom,Dinner_Party,Larry talks more about the dinner party and mentions that they said grace. Cheryl asks Larry if he had a good time at the dinner party. Larry says no and reminds Cheryl that she lost a bet.
G1,25,G,The Davids' Kitchen,Other,Larry enters the kitchen and Cheryl is at the table. Larry mentions he wants to get a new toothpaste. 
G2,26,G,The Davids' Kitchen,Dinner_Party,Larry notices that there is a message on the answering machine. The message is from Mike and tells Larry that he feels weird about something from the dinner party. Larry and Cheryl speculate what the message is about and Larry thinks it might be about Mike taking the head of table. Cheryl tells Larry it might be about how Larry does not like it when people stay at their guesthouse in Martha's Vineyard. Maggie might have overheard and might have told Mike because Maggie and Mike were planning on going to vacation there. 
G3,27,G,The Davids' Kitchen,Caterer,Larry wants an apple turnover and walks over to the refrigerator but can't find it. Cheryl looks for the leftovers after. The leftovers seem to be missing. Cheryl and Larry are wondering if the caterer took the leftovers. Larry vaguely remembers seeing the caterer walk out with a platter. Cheryl calls the caterer and the caterer admits that she took the leftovers home. Cheryl tells her that she will cancel the check if she does not get the leftovers back. Cheryl tells her that Larry will pick up the leftovers.
H1,28,H,Caterer's House,Caterer,Larry is at the caterer's house and asks for the food. The caterer tells him that she gave the food to the homeless shelter. Another woman comes by and tells the caterer that she dropped the food off to Jeff's. Larry and the caterer continue to argue and the caterer is in denial.
I1,29,I,Jeff's Kitchen,Caterer,Jeff is eating the leftover chicken when Larry visits. Jeff tells Larry that he was going to drop them off to his house. Larry sits down and eats the apple turnovers. 
I2,30,I,Jeff's Kitchen,Chevy,Jeff brings up a message that Larry left him and Larry says there might be a problem. Larry begins explaining the situation about Martha's Vineyard. 
J1,31,J,AAMCO Station,Chevy,Larry and Jeff are at the AAMCO station. Mike tells them that there is an issue with the transmission and that he can fix it. 
J2,32,J,AAMCO Station,Dinner_Party,Mike asks Larry if he can speak to him in private.
J3,33,J,AAMCO Station,Chevy, And Jeff tells Larry to apologize if he has to. 
J4,34,J,AAMCO Station,Dinner_Party,"Mike tells Larry to take a seat in his office and thanks him about the dinner party. Mike begins to apologize to Larry but Larry cuts him off and tells him that Cheryl should have not said anything about the vineyard. Mike was apologizing for taking the head of the table. Larry and Mike argue, talking past each other. Mike ends the conversation."
J5,35,J,AAMCO Station,Chevy,Jeff and Larry are driving in the 57 Chevy in silence and there is a rumbling sound from the car. 
K1,36,K,Walking on the Street,Caterer,Larry is walking down the street with platters of food and a homeless man asks if he has any spare change. Larry asks the homeless man if he goes to the shelter and what food they serve there. The homeless man tells Larry that they usually serve soup and peanut butter. Larry asks if the homeless man wants the food and the homeless man takes it.
L1,37,L,The Davids' Car,Dinner_Party,Cheryl and Larry are driving from dinner and Larry reminds Cheryl about the bet.
